ISIN	Fullname	Index	TER	PEA?	AUM	Replication	Div. freq.	Last div	Quote	Ticker
FR0010713669	AMUNDI ETF MSCI PACIFIC EX JAPAN UCITS ETF DR - EU 	MSCI Pacific Ex Japan	0.450%	No	100-500 M€	Physical	Annually	NH	479.11 €	CP9
FR0007080973	AMUNDI ETF CAC 40 UCITS ETF 	CAC 40	0.250%	Yes	100-500 M€	Physical	Capitalisation	NH	65.74 €	C40
FR0010754200	AMUNDI ETF CASH 3 MONTHS EUROMTSUCITS ETF 	EuroMTS Government Bill	0.140%	No	100-500 M€	Synthetic	Annually	NH	119.86 €	C3M
FR0010654913	AMUNDI ETF EURO STOXX 50 UCITS ETF DR - C 	EURO STOXX 50	0.150%	Yes	+500 M€	Physical	Capitalisation	NH	66.91 €	C50
FR0010908251	AMUNDI ETF EURO STOXX 50 UCITS ETF DR - D 	EURO STOXX 50	0.150%	Yes	<50 M€	Physical	Annually	1.71€ the 29/07/2016	51.35 €	CD5
FR0010821819	AMUNDI ETF MSCI EUROPE EX EMU UCITS ETF 	MSCI Europe Ex EMU	0.300%	Yes	100-500 M€	Synthetic	Annually	NH	214.70 €	CU9
FR0010754119	AMUNDI ETF EURO CORPORATES UCITS ETF 	Markit iBoxx Euro Liquid Corp	0.160%	No	+500 M€	Synthetic	Annually	NH	213.56 €	CC4
FR0010892190	AMUNDI ETF GOVT BOND LOWEST RATED UCITS ETF 	EuroMTS Lowest-RatedAll-Mat	0.140%	No	+500 M€	Synthetic	Annually	NH	226.34 €	X1G
FR0010754192	AMUNDI ETF GOVT BOND EUROMTS UCITS ETF 	EuroMTS Investment All Mat	0.140%	No	100-500 M€	Synthetic	Annually	NH	227.38 €	CB3
FR0010655688	AMUNDI ETF MSCI EMU UCITS ETF DR 	MSCI EMU	0.250%	Yes	+500 M€	Physical	Annually	NH	178.59 €	CMU
FR0010655696	AMUNDI ETF MSCI EUROPE UCITS ETF 	MSCI Europe	0.150%	Yes	100-500 M€	Synthetic	Annually	NH	197.32 €	CEU
FR0010655738	AMUNDI ETF MSCI NORDIC UCITS ETF 	MSCI Nordic Countries	0.250%	Yes	100-500 M€	Synthetic	Annually	NH	327.36 €	CN1
FR0010655746	AMUNDI ETF MSCI SPAIN UCITS ETF 	MSCI Spain	0.250%	Yes	50-100 M€	Synthetic	Annually	NH	180.60 €	CS1
FR0010655753	AMUNDI ETF MSCI SWITZERLAND UCITS ETF 	MSCI Switzerland	0.250%	Yes	100-500 M€	Synthetic	Annually	NH	246.33 €	CSW
FR0010959676	AMUNDI ETF MSCI EMERGING MARKETS UCITS ETF 	MSCI Emerging Markets	0.200%	Yes	+500 M€	Synthetic	Annually	NH	3.56 €	AEEM
FR0010688242	AMUNDI ETF MSCI JAPAN UCITS ETF DR - EUR 	MSCI Japan	0.450%	No	100-500 M€	Physical	Annually	NH	178.05 €	CJ1
FR0010655761	AMUNDI ETF MSCI UK UCITS ETF 	MSCI UK	0.250%	Yes	100-500 M€	Synthetic	Annually	NH	179.43 €	CU1
FR0010688275	AMUNDI ETF MSCI USA UCITS ETF 	MSCI USA	0.280%	Yes	+500 M€	Synthetic	Annually	NH	251.57 €	CU2
FR0010756098	AMUNDI ETF MSCI WORLD UCITS ETF 	MSCI World	0.380%	Yes	100-500 M€	Synthetic	Annually	NH	235.55 €	CW8
FR0010892224	AMUNDI ETF S&P 500 UCITS ETF 	S&P 500	0.150%	Yes	+500 M€	Synthetic	Annually	NH	37.10 €	500
FR0010791004	AMUNDI ETF STOXX EUROPE 600 UCITS ETF 	STOXX Europe 600	0.180%	Yes	100-500 M€	Synthetic	Annually	NH	72.42 €	C6E
FR0010756122	AMUNDI ETF MSCI WORLD EX EUROPE UCITS ETF 	MSCI World Ex Europe	0.350%	Yes	50-100 M€	Synthetic	Annually	NH	249.96 €	CE8
FR0010878033	AMUNDI ETF CAC 40 UCITS ETF 	CAC 40	0.250%	Yes	100-500 M€	Physical	Annually	1.44€ the 29/07/2016	48.71 €	C4D
LU0378438732	ComStage DAX® TR UCITS ETF 	DAX®	0.080%	Yes	+500 M€	Synthetic	-	NH	113.58 €	PDAX
LU0292106753	db x-trackers Euro Stoxx 50® Short Daily UCITS ETF 	EURO STOXX 50 Daily Short	0.400%	No	100-500 M€	Synthetic	Capitalisation	NH	NH €	XSX
LU0292107645	db x-trackers MSCI Emerging Markets Index UCITS ET 	MSCI Emerging Markets	0.650%	No	+500 M€	Synthetic	Capitalisation	NH	NH €	XEM
FR0010150458	BNP Paribas Easy CAC 40 UCITS ETF Distribution 	CAC 40	0.250%	Yes	50-100 M€	Physical	Annually	1.70€ the 19/09/2016	47.80 €	E40
LU0192223062	BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped  	FTSE EPRA/NAREIT Eurozone Capp	0.450%	No	100-500 M€	Physical	Quarterly	0.58€ the 15/11/2016	225.38 €	EEE
FR0010276949	BNP Paribas Easy Markit iBoxxLiquid Sovereigns U 	Markit iBoxx Euro Liq Sov	0.150%	No	100-500 M€	Physical	Capitalisation	NH	233.01 €	ISM
GB00B15KY989	ETFS ALL COMMODIT. 	All Commodities	0.490%	No	100-500 M€	Synthetic	-	NH	8.44 €	AIGCP
GB00B0CTWC01	ETFS BRENT OIL SEC 	Crude Oil (Brent)	0.490%	No	100-500 M€	Synthetic	-	NH	22.86 €	OILBP
GB00B15KY104	ETFS NATURAL GAS 	Natural Gas	0.490%	No	50-100 M€	Synthetic	-	NH	0.05 €	NGASP
JE00B1VS3333	ETFS PHYSIC SILVER 	Silver	0.490%	No	+500 M€	Physical	-	NH	15.15 €	PHAG
JE00B1VS3770	ETFS PHYSICALGOLD 	Gold	0.390%	No	+500 M€	Physical	-	NH	109.21 €	PHAU
JE00B1VS3002	ETFS PHYSPALLADIUM 	Palladium	0.490%	No	100-500 M€	Physical	-	NH	67.32 €	PHPD
JE00B1VS3W29	ETFS PHYSPM BASKET 	Precious Metals	0.430%	No	100-500 M€	Physical	-	NH	84.28 €	PHPM
JE00B1VS2W53	ETFSPHYSIPLATINUM 	Platinium	0.490%	No	100-500 M€	Physical	-	NH	88.44 €	PHPT
IE00B42TW061	HSBC FTSE 100 ETF 	FTSE 100	0.350%	Yes	100-500 M€	Physical	Semi-Annually	1.80€ the 04/08/2016	83.65 €	UKX
IE00B44T3H88	HSBC MSCI CHINA ETF 	MSCI China	0.600%	No	100-500 M€	Physical	Semi-Annually	0.08€ the 28/07/2016	5.80 €	CNY
IE00B4X9L533	HSBC MSCI WORLD 	MSCI World	0.350%	No	100-500 M€	Physical	Quarterly	0.07€ the 20/10/2016	16.72 €	WRD
IE00B5VX7566	HSBC MSCI JAPAN ETF 	MSCI Japan	0.400%	No	100-500 M€	Physical	Semi-Annually	0.22€ the 28/07/2016	27.65 €	MJP
IE00B5KQNG97	HSBC SP 500 ETF 	S&P 500	0.150%	No	+500 M€	Physical	Semi-Annually	0.17€ the 21/07/2016	21.61 €	HHH
IE00B0M62Y33	iShares AEX 	AEX	0.300%	No	100-500 M€	Physical	Quarterly	0.15€ the 15/12/2016	48.38 €	IAEX
IE00B14X4T88	iShares Asia Pacific Dividend UCITS ETF 	DJ Asia Pacific Select Div 30	0.590%	No	100-500 M€	Physical	Quarterly	0.43€ the 15/12/2016	27.19 €	IAPD
IE00B3DKXQ41	iShares E Aggregate Bond UCITS ETF EUR (Dist) 	BarCap Euro Aggregate	0.250%	No	+500 M€	Physical	Semi-Annually	0.73€ the 12/01/2017	121.09 €	IEAG
IE00B3F81R35	iShares Core E Corp Bond UCITS ETF EUR (Dist) 	BarCap Euro Corporate	0.200%	No	+500 M€	Physical	Monthly	1.01€ the 12/01/2017	128.58 €	IEAC
IE00B0M63516	iShares MSCI Brazil UCITS ETF (Dist) 	MSCI Brazil	0.740%	No	100-500 M€	Physical	Semi-Annually	0.08€ the 15/12/2016	27.28 €	IBZL
IE00B1W57M07	iShares BRIC 50 UCITS ETF USD (Dist) 	FTSE BRIC 50	0.740%	No	100-500 M€	Physical	Semi-Annually	0.41€ the 10/11/2016	22.83 €	BRIC
IE00B02KXK85	iShares China Large Cap UCITS ETF 	FTSE Xinhua China 25	0.740%	No	+500 M€	Physical	Quarterly	0.22€ the 15/12/2016	98.30 €	FXC
IE00B57X3V84	iShares DwJones Glob Sust Scrn UCITS ETF USD (Acc) 	DJ Sustainbty World ex ATGAFAE	0.600%	No	100-500 M€	Physical	Capitalisation	NH	31.04 €	IGSG
IE00B3B8Q275	iShares E Covered Bond UCITS ETF EUR (Dist) 	Markit iBoxx Euro Covered	0.200%	No	+500 M€	Physical	Semi-Annually	0.50€ the 12/01/2017	154.83 €	ICOV
IE00B14X4Q57	iShares Euro Government Bond 1 3yr UCITS ETF 	Barclays Euro Gov Bond 1-3Y	0.200%	No	+500 M€	Physical	Semi-Annually	0.19€ the 10/03/2016	144.30 €	IBGS
IE00B1FZS681	iShares E Govt Bond 3-5yr UCITS ETF EUR (Dist) 	Barclays Euro Government Bond	0.200%	No	+500 M€	Physical	Semi-Annually	0.02€ the 10/11/2016	168.97 €	IBGX
IE00B1FZS806	iShares E Govt Bond 7-10yr UCITS ETF EUR (Dist) 	Barclays Euro Government Bond	0.200%	No	+500 M€	Physical	Semi-Annually	0.77€ the 10/11/2016	208.44 €	IBGM
IE00B0M62X26	iShares Euro Inflation Linked Gov Bond UCITS ETF 	Barclays Euro Gov Bond	0.250%	No	+500 M€	Physical	Capitalisation	NH	205.37 €	IBCI
IE00B0M63730	iShares MSCI AC Far East ex Japan UCITS ETF 	MSCI AC Far East ex Japan	0.500%	No	+500 M€	Physical	Quarterly	0.07€ the 15/12/2016	41.54 €	IFFF
IE00B0M63953	iShares MSCI Eastern Europe Capped UCITS ETF 	MSCI Eastern Europe	0.740%	No	100-500 M€	Physical	Quarterly	0.04€ the 15/12/2016	20.39 €	IEER
IE00B4WXJG34	iShares E Govt Bond 5-7yr UCITS ETF EUR (Dist) 	Barclays Euro Gov Bond 5-7	0.200%	No	100-500 M€	Physical	Semi-Annually	0.17€ the 12/01/2017	155.08 €	IEGY
IE00B0M63177	iShares MSCI Emerging Markets UCITS ETF (Dist) 	MSCI Emerging Markets	0.680%	No	+500 M€	Physical	Quarterly	0.06€ the 15/12/2016	32.58 €	IEMM
IE00B0M62S72	iShares EURO Dividend UCITS ETF 	STOXX Europe Select Div 30	0.400%	No	+500 M€	Physical	Quarterly	0.01€ the 15/12/2016	21.61 €	IDVY
IE00B02KXL92	iShares EURO STOXX Mid UCITS ETF 	EURO STOXX Mid	0.400%	No	100-500 M€	Physical	Quarterly	0.05€ the 15/12/2016	52.28 €	DJMC
IE00B02KXM00	iShares EURO STOXX Small UCITS ETF 	EURO STOXX Small	0.400%	No	100-500 M€	Physical	Quarterly	0.06€ the 15/12/2016	30.03 €	DJSC
IE00B0M62T89	iShares EURO Total Market Value Large UCITS ETF 	EURO STOXX Total Market Value	0.400%	No	50-100 M€	Physical	Quarterly	0.04€ the 15/12/2016	21.52 €	IDJV
IE0008471009	iShares EURO STOXX 50 UCITS ETF EUR (Dist) 	EURO STOXX 50	0.150%	Yes	+500 M€	Physical	Semi-Annually	0.18€ the 10/11/2016	33.48 €	EUEA
IE00B14X4N27	iShares MSCI Europe ex UK UCITS ETF 	MSCI Europe Ex UK	0.400%	No	+500 M€	Physical	Quarterly	0.03€ the 15/12/2016	29.43 €	IEUX
IE00B1YZSC51	iShares MSCI Europe UCITS ETF EUR (Dist) 	MSCI Europe	0.350%	No	+500 M€	Physical	Quarterly	0.10€ the 10/11/2016	22.69 €	IMEU
IE0005042456	iShares Core FTSE 100 UCITS ETF 	FTSE 100	0.070%	No	+500 M€	Physical	Quarterly	0.06€ the 15/12/2016	8.22 €	ISFA
IE00B1FZS467	iShares Global Infrastructure UCITS ETF USD (Dist) 	FTSE Macquarie Global Infr 100	0.650%	No	100-500 M€	Physical	Quarterly	0.12€ the 10/11/2016	22.41 €	INFR
IE00B6X2VY59	iShares EUR CBond I.Rate Hedg UCITS ETF EUR (Dist) 	Barclays EUR Corporate Interes	0.250%	No	+500 M€	Physical	Capitalisation	0.65€ the 15/12/2016	97.09 €	IRCP
IE00B02KXH56	iShares MSCI Japan UCITS ETF (Dist) 	MSCI Japan	0.590%	No	+500 M€	Physical	Semi-Annually	0.08€ the 12/01/2017	12.00 €	IJPN
IE00B0M63391	iShares MSCI Korea UCITS ETF (Dist) 	MSCI Korea	0.740%	No	+500 M€	Physical	Semi-Annually	0.64€ the 10/03/2016	34.86 €	IKRA
IE00B27YCK28	iShares MSCI EM Latin America UCITS ETF USD (Dist) 	MSCI EM Latin America	0.740%	No	100-500 M€	Physical	Semi-Annually	0.09€ the 10/11/2016	14.93 €	LTAM
IE00B4L5YC18	iShares MSCI EM UCITS ETF USD (Acc) 	MSCI Emerging Markets	0.750%	No	100-500 M€	Physical	Capitalisation	NH	25.80 €	IEMA
IE00B4K48X80	iShares MSCI Europe UCITS ETF EUR (Acc) 	MSCI Europe	0.350%	No	+500 M€	Physical	Capitalisation	NH	45.26 €	IMAE
IE00B42Z5J44	iShares MSCI Japan EUR Hedged UCITS ETF (Acc) 	MSCI Japan Hedged EUR	0.640%	No	+500 M€	Physical	Capitalisation	NH	43.95 €	IJPE
IE00B4L5Y983	iShares Core MSCI World UCITS ETF USD (Acc) 	MSCI World	0.200%	No	+500 M€	Physical	Capitalisation	NH	42.47 €	IWDA
IE00B441G979	iShares MSCI World EUR Hedged UCITS ETF (Acc) 	MSCI World Hedged EUR	0.550%	No	+500 M€	Physical	Capitalisation	NH	44.21 €	IWDE
IE00B14X4M10	iShares MSCI North America UCITS ETF 	MSCI North America	0.400%	No	+500 M€	Physical	Quarterly	0.15€ the 15/12/2016	40.59 €	INAA
IE00B1TXHL60	iShares Listed Private Equity UCITS ETF USD (Dist) 	S&P Listed Private Equity	0.750%	No	100-500 M€	Physical	Semi-Annually	0.40€ the 10/11/2016	17.16 €	IPRV
